GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sem3,se.kth.joeron.iv1350.pos.model,CashRegister,13,0,0,0,5,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.model,Receipt,41,0,0,0,13,0,7,0,7,0
sem3,se.kth.joeron.iv1350.pos.model,Item,0,64,0,0,0,17,0,8,0,8
sem3,se.kth.joeron.iv1350.pos.model,Sale,0,234,0,12,0,50,0,14,0,8
sem3,se.kth.joeron.iv1350.pos.integration,AccountingSystem,7,0,0,0,3,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.integration,DBController,38,0,0,0,10,0,4,0,4,0
sem3,se.kth.joeron.iv1350.pos.integration,SaleLog,7,0,0,0,3,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.integration,DiscountDatabase,7,0,0,0,2,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.integration,Printer,7,0,0,0,3,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.integration,InventorySystem,90,0,4,0,11,0,5,0,3,0
sem3,se.kth.joeron.iv1350.pos.integration,IOController,23,0,0,0,8,0,3,0,3,0
sem3,se.kth.joeron.iv1350.pos.view,View,133,0,2,0,28,0,6,0,5,0
sem3,se.kth.joeron.iv1350.pos.startup,Main,39,0,0,0,12,0,2,0,2,0
sem3,se.kth.joeron.iv1350.pos.dto,DiscountRulesDTO,3,0,0,0,1,0,1,0,1,0
sem3,se.kth.joeron.iv1350.pos.dto,ItemDTO,3,39,0,0,1,14,1,7,1,7
sem3,se.kth.joeron.iv1350.pos.dto,SaleDTO,0,51,0,0,0,18,0,9,0,9
sem3,se.kth.joeron.iv1350.pos.controller,Controller,82,0,0,0,21,0,5,0,5,0
